Ticker,Instrument_Type,Observations,Train_Size,Test_Size,Return_STD,AIC,BIC,RMSE,MAE
SQURPHARMA,Equity,3159,2527,632,0.01048017190398355,-15585.306617008278,-15561.967464578725,0.007411999197739773,0.004365906521884977
BATBC,Equity,3127,2501,626,0.01559743579515089,-13708.611422524235,-13685.313638800724,0.015196344333031863,0.008642632496485142
GP,Equity,3146,2516,630,0.015052658155484809,-13827.835977634404,-13804.514275163123,0.012608546007549943,0.0065773462132323775
1JANATAMF,MutualFund,3113,2490,623,0.021798827508184546,-12180.01173312249,-12156.731581164655,0.024774810312099632,0.014664144818905659
