Model,Observations,Return_STD,AIC,BIC,RMSE,MAE
Coverage_Aware,1953,0.02614853,-6837.775304,-6816.360415,0.022176835,0.01614143
Naive_Filled,4861,0.016580278,-21022.8562,-20997.7936,0.018012315,0.010795508
