Ticker,Listing_Date,Std_Aware,Std_Naive,Distortion_STD,AIC_ARIMA_Aware,AIC_ARIMA_Naive,UV_GARCH_Aware,UV_GARCH_Naive,Distortion_GARCH
00DSMEX,2024-01-28,0.017312716073347948,0.005387456833442616,0.6888150414632899,-2486.2290863291123,-36982.710391209774,2.9960479690097777,0.2909017573459112,0.9029048398574016
AAMRANET,2017-10-02,0.026148529816662797,0.01658027800205464,0.36591930336790546,-8683.959994283829,-26062.682068303773,7.037989103651359,4.4923779879538,0.3616958023388922
ACHIASF,2024-01-28,0.03114598549874456,0.009643080489900981,0.6903909015725421,-1915.3349460268846,-31395.321133329635,10.444399777807293,0.9297864420082088,0.9109775131373409
AIL,2017-12-28,0.030179130744118234,0.01831038863386136,0.3932764734309001,-7456.179870387554,-25111.480400994296,9.931364497203074,5.208660768075224,0.4755342259825308
AOPLC,2024-01-28,0.035026114919830834,0.010905864862042985,0.688636182259872,-1840.2273193833953,-30331.179251889844,11.749396704952165,2.3243462992510833,0.8021731364069602
BDPAINTS,2024-01-28,0.04640926483525362,0.014401741313524705,0.689679606762812,-1553.8366941988002,-27438.782785588894,21.607750446495665,6.169947726598178,0.7144567296870639
BESTHLDNG,2024-02-06,0.02691073315738506,0.008312188643229832,0.691119948512115,-2047.8376437531183,-32939.75238342606,6.271007630154212,0.9202656007795103,0.8532507604751742
CAPITECGBF,2023-10-17,0.03405535285910877,0.01132347473462922,0.6674979471956775,-2130.440170620503,-29861.599236576592,9.924213365458264,1.3493609833766997,0.8640334569918438
CRYSTALINS,2020-12-21,0.036386442000979506,0.018232839790476775,0.4989111661429838,-4653.6025160268855,-25201.41915910148,12.17269659966449,12.759997938988294,-0.04824743100390676
DGIC,2021-03-29,0.030806255568641444,0.014999234535103802,0.5131107543504266,-4770.641741442429,-27068.981571200547,8.111210998927614,1.8079083830937963,0.7771099305229736
EGEN,2021-02-23,0.03036365537477935,0.01464799216372887,0.517581398453897,-4725.8510583763555,-27330.785256321535,15.407430464243655,7.821045588191466,0.4923848200164246
GENEXIL,2019-02-06,0.02769810586866301,0.015899038469861338,0.4259882410280936,-6940.13652431581,-26478.4121979465,7.833285071681096,2.7736505215855947,0.6459147731501691
ICICL,2022-12-18,0.027569919352436457,0.010740212590438695,0.6104372866259566,-3266.08110069311,-30536.679255520692,6.543982872057717,1.6766878760575377,0.7437817444148791
INTRACO,2018-05-17,0.0313315436571788,0.019021154675570823,0.39290719653984796,-7326.736627429753,-24720.0563033074,9.700820653863005,7.831247799587031,0.19272316446047105
MAGURAPLEX,2021-06-13,0.03697482782723267,0.017592542033906283,0.5242021919315325,-4174.59120527975,-25653.663382411563,13.278030237126435,9.21969115265136,0.30564315730563973
MAMUNAGRO,2024-01-28,0.027487296889533133,0.008506754877878156,0.6905205007220104,-2039.4850714558302,-32633.236471775577,6.626577200047937,0.7237219822621505,0.8907849466755002
MASTERAGRO,2024-01-28,0.03504198812496581,0.010879595255067157,0.6895268836839784,-1805.4701019303454,-30153.208995680463,12.64329835166565,1.5318385825849554,0.8788418543976582
MIDLANDBNK,2023-03-27,0.03601534996066465,0.013375022566306337,0.6286299430405561,-2551.484027342034,-28142.347482135978,12.018859386192677,2.189019657482107,0.8178679367863424
MKFOOTWEAR,2024-01-28,0.02144493405393684,0.006526682493627523,0.69565387903679,-2181.6643346406663,-35162.007630167675,4.8114008403447475,0.42602413002068584,0.9114552821190096
MOSTFAMETL,2024-01-28,0.03676882787054679,0.011389875237550855,0.6902301243419682,-1755.1530570989735,-29711.82638790211,14.974551382330215,1.3952047422425227,0.9068282777480168
NRBBANK,2024-02-27,0.03051072003738968,0.009268654205260957,0.6962164710009273,-1856.803380866485,-31707.90041237515,9.359166370080017,1.1280220719339225,0.8794740869720988
OIMEX,2017-11-06,0.028743595012163278,0.017933920091667322,0.3760724751347798,-8063.085100603132,-25318.371398174357,11.330708892802496,0.08398892451604256,0.9925874960418943
ORYZAAGRO,2024-01-28,0.03625717130746566,0.011261443933359198,0.6894009232584459,-1773.6081475092208,-29815.09996073346,15.147793409509235,1.5084604118413738,0.9004171517882982
SEAPEARL,2019-07-16,0.031962652893546786,0.017118161795210092,0.4644323845012807,-5675.965465470814,-25814.147800347768,9.55737540526781,2.6074911544706336,0.7271749780767801
SILCOPHL,2019-06-13,0.02375968952046045,0.013353996763474303,0.4379557547679811,-7140.589091525995,-28183.908513255257,9.257612302739272,1.0087811858508273,0.8910322496922523
SILVAPHL,2018-10-10,0.026359855464411955,0.015357581902165914,0.41738747684334027,-7322.535383029315,-26818.084592253304,20.17203571048956,1.373993816185308,0.9318862094086605
SIPLC,2021-11-07,0.02781887981740519,0.012699682251563907,0.5434869292034465,-4508.977307592273,-28985.6047796488,6.17161581888882,1.7614104836137852,0.7145949237114176
TAMIJTEX,2021-06-13,0.03358627398397819,0.01581176856956111,0.5292193299827225,-4338.199085918349,-26761.274093658918,63.15781573662385,2.820903041489563,0.9553356459752648
TILIL,2023-05-11,0.03488528412696954,0.012713350488616475,0.6355669501688856,-2592.7526598217974,-29062.47735975706,10.419830023291226,1.9676679713532301,0.8111612217325097
WEBCOATS,2024-03-11,0.042134128798145355,0.012620605460096876,0.700465968560565,-1520.7825792857197,-28706.789248961726,16.504985797880195,1.7923140491515612,0.8914077193945993
WONDERTOYS,2024-01-28,0.05985390854250326,0.017896214941730413,0.7010017327603257,-1218.723628034388,-25329.09463017044,35.72829752431261,6.523864467578978,0.8174034331431668
