Ticker,Instrument_Type,First_Date,Last_Date,Calendar_Days,Days_Adjusted,Days_Unadjusted,Days_Both,Coverage_Ratio
RAKCERAMIC,Equity,2012-01-10,2026-12-01,5440,3111,3110,3110,0.5717
RANFOUNDRY,Equity,2012-01-10,2026-12-01,5440,3126,3125,3125,0.5744
RDFOOD,Equity,2012-01-10,2026-12-01,5440,3144,3143,3143,0.5778
RECKITTBEN,Equity,2012-01-10,2026-12-01,5440,2949,2948,2948,0.5419
REGENTTEX,Equity,2015-12-14,2026-12-01,4006,2230,2229,2229,0.5564
RELIANCE1,Equity,2012-01-10,2026-12-01,5440,2981,2980,2980,0.5478
RELIANCINS,Equity,2012-01-10,2026-12-01,5440,3068,3067,3067,0.5638
RENATA,Equity,2012-01-10,2026-12-01,5440,3135,3134,3134,0.5761
RENWICKJA,Equity,2012-01-10,2026-12-01,5440,3011,3010,3010,0.5533
REPUBLIC,Equity,2012-01-10,2026-12-01,5440,3149,3138,3138,0.5768
RINGSHINE,Equity,2019-12-12,2026-12-01,2547,1362,1361,1361,0.5344
RNSPIN,Equity,2012-01-10,2024-12-09,4718,2805,2805,2805,0.5945
ROBI,Equity,2020-12-24,2026-12-01,2169,1215,1214,1214,0.5597
RSRMSTEEL,Equity,2014-01-10,2026-12-01,4709,2688,2687,2687,0.5706
RUNNERAUTO,Equity,2019-01-08,2026-12-01,2885,1434,1433,1433,0.4967
RUPALIBANK,Equity,2012-01-10,2026-12-01,5440,3103,3102,3102,0.5702
RUPALIINS,Equity,2012-01-10,2026-12-01,5440,3148,3147,3147,0.5785
RUPALILIFE,Equity,2012-01-10,2026-12-01,5440,3147,3146,3146,0.5783
SADHESIVE,Equity,2022-01-08,2026-12-01,1789,867,462,462,0.2582
SAFKOSPINN,Equity,2012-01-10,2026-12-01,5440,3062,3061,3061,0.5627
SAIFPOWER,Equity,2014-01-10,2026-12-01,4709,2638,2637,2637,0.56
SAIHAMCOT,Equity,2012-01-10,2026-12-01,5440,3013,3012,3012,0.5537
SAIHAMTEX,Equity,2012-01-10,2026-12-01,5440,3069,3068,3068,0.564
SALAMCRST,Equity,2012-01-10,2026-12-01,5440,2954,2953,2953,0.5428
SALVO,Equity,2012-01-10,2026-12-01,5440,3050,3049,3049,0.5605
SAMATALETH,Equity,2012-01-11,2026-12-01,5439,2822,2821,2821,0.5187
SAMORITA,Equity,2012-01-10,2026-12-01,5440,3072,3071,3071,0.5645
SANDHANINS,Equity,2012-01-10,2026-12-01,5440,3144,3143,3143,0.5778
SAPORTL,Equity,2012-01-10,2026-12-01,5440,3153,3152,3152,0.5794
SAVAREFR,Equity,2012-01-10,2023-12-03,4346,1966,1966,1966,0.4524
SBACBANK,Equity,2021-01-09,2026-12-01,2153,1042,1041,1041,0.4835
SEAPEARL,Equity,2019-01-08,2026-12-01,2885,1397,1396,1396,0.4839
SEB1PBOND,Bond,2025-01-15,2025-08-27,225,7,7,7,0.0311
SEMLFBSLGF,Equity,2019-01-04,2026-12-01,2889,1461,1460,1460,0.5054
SEMLIBBLSF,Equity,2017-01-03,2026-12-01,3620,1867,1866,1866,0.5155
SEMLLECMF,MutualFund,2016-01-02,2025-12-10,3631,2047,2046,2046,0.5635
SHAHJABANK,Equity,2012-01-10,2026-12-01,5440,3151,3150,3150,0.579
SHARPIND,Equity,2024-01-12,2026-12-01,1055,297,296,296,0.2806
SHASHADNIM,Equity,2015-01-04,2026-12-01,4350,2404,2403,2403,0.5524
SHEPHERD,Equity,2017-01-06,2026-12-01,3617,1921,1920,1920,0.5308
SHURWID,Equity,2014-01-10,2026-12-01,4709,2647,2646,2646,0.5619
SHYAMPSUG,Equity,2012-01-10,2026-12-01,5440,2773,2772,2772,0.5096
SIBL,Equity,2012-01-10,2025-12-10,5084,3081,3080,3080,0.6058
SICL,Equity,2024-01-02,2026-12-01,1065,473,472,472,0.4432
SILCOPHL,Equity,2019-01-08,2026-12-01,2885,1538,1537,1537,0.5328
SILVAPHL,Equity,2018-01-11,2026-12-01,3247,1652,1651,1651,0.5085
SIMTEX,Equity,2015-01-12,2026-12-01,4342,2388,2387,2387,0.5497
SINGERBD,Equity,2012-01-10,2026-12-01,5440,3144,3143,3143,0.5778
SINOBANGLA,Equity,2012-01-10,2026-12-01,5440,3151,3150,3150,0.579
SIPLC,Equity,2021-01-12,2026-12-01,2150,1013,1012,1012,0.4707
SKTRIMS,Equity,2018-01-08,2026-12-01,3250,1685,1684,1684,0.5182
SONALIANSH,Equity,2012-01-10,2026-12-01,5440,3154,3153,3153,0.5796
SONALILIFE,Equity,2021-01-09,2026-12-01,2153,1092,1091,1091,0.5067
SONALIPAPR,Equity,2020-01-09,2026-12-01,2519,1267,1266,1266,0.5026
SONARBAINS,Equity,2012-01-10,2026-12-01,5440,3132,3131,3131,0.5756
SONARGAON,Equity,2012-01-10,2026-12-01,5440,3084,3083,3083,0.5667
SOUTHEASTB,Equity,2012-01-10,2026-12-01,5440,3141,3140,3140,0.5772
SPCERAMICS,Equity,2012-01-10,2026-12-01,5440,3112,3111,3111,0.5719
SPCL,Equity,2014-01-10,2026-12-01,4709,2607,2606,2606,0.5534
SQUARETEXT,Equity,2012-01-10,2026-12-01,5440,3102,3101,3101,0.57
SQURPHARMA,Equity,2012-01-10,2026-12-01,5440,3160,3159,3159,0.5807
SSSTEEL,Equity,2019-01-04,2026-12-01,2889,1610,1609,1609,0.5569
STANCERAM,Equity,2012-01-10,2026-12-01,5440,2977,2976,2976,0.5471
STANDARINS,Equity,2012-01-10,2026-12-01,5440,3068,3067,3067,0.5638
STANDBANKL,Equity,2012-01-10,2026-12-01,5440,3116,3115,3115,0.5726
STYLECRAFT,Equity,2012-01-11,2026-12-01,5439,2746,2745,2745,0.5047
SUMITPOWER,Equity,2012-01-10,2026-12-01,5440,3105,3104,3104,0.5706
